"Zemědělství, lesnictví a rybářství
Agriculture, forestry and fishing",37501
"Těžba a dobývání
Mining and quarrying",53762
"Zpracovatelský průmysl
Manufacturing",44371
"Výroba potravinářských výrobků
Manufacture of food products",36868
"Výroba pryžových a plastových výrobků
Manufacture of rubber and plastic products",42127
"Výroba ostatních nekovových minerálních výrobků
Manufacture of other non-metallic mineral products",45430
"Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení
Manufacture of fabricated metal products, except machinery and equipment",40127
"Výroba elektrických zařízení
Manufacture of electrical equipment",47159
"Výroba strojů a zařízení j. n.
Manufacture of machinery and equipment n.e.c.",45364
"Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů
Manufacture of motor vehicles, trailers and semi-trailers",52497
"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu
Electricity, gas, steam and air conditioning supply",69336
"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi
Water supply; sewerage, waste management and remediation activities",43239
"Stavebnictví
Construction",38930
"Velkoobchod a maloobchod; opravy a údržba motorových vozidel
Wholesale and retail trade; repair of motor vehicles and motorcycles",42259
"Doprava a skladování
Transportation and storage",41604
"Ubytování, stravování a pohostinství
Accommodation and food service activities",26693
"Informační a komunikační činnosti
Information and communication",79156
"Peněžnictví a pojišťovnictví
Financial and insurance activities",70319
"Činnosti v oblasti nemovitostí
Real estate activities",39380
"Profesní, vědecké a technické činnosti
Professional, scientific and technical activities",56461
"Administrativní a podpůrné činnosti
Administrative and support service activities",30727
"Veřejná správa a obrana; povinné sociální zabezpečení
Public administration and defence; compulsory social security",48926
"Vzdělávání
Education",51327
"Zdravotní a sociální péče
Human health and social work activities",50636
"Kulturní, zábavní a rekreační činnosti
Arts, entertainment and recreation",40369
"Ostatní činnosti
Other services activities",34446